	CDKN2A_loss	TP53	FBXW7_loss	PTEN_loss	STK11_loss	CDK6_gain	EGFR_gain	CDKN2A	MLL2	KEAP1	PIK3CA	NOTCH1	NFE2L2	FN1	RB1	PTEN	NF1	ARID1A	ARID1B	SETD2	CCAR1	GATA3	TBX3	CLASP2	EGFR	HLA-A	TAOK2	ABL2	CHD3	CSDA	CTNNB1	DHX9	FGFR3	FOXP1	FUBP1	HRAS	ITSN1	MAP3K1	MKL1	MLL	MYB	PIP5K1A	RASA1	RGS3	SF3B1	SMAD4	SYNCRIP	WIPF1	WT1	ZC3H11A
CCAR1	1.16068484044126	1.49907608993944	1.21073717017648	1.25928586406424	1.01284079277938	1.56499587701732	1.34299907601713	1.00876426685911	1.20431552821637	1.03194044188281	0.961444164786583	0.966876859855463	0.973004627367574	1.23429044627727	0.987463604011647	0.997961173127905	1	1.09407857730085	1.31703461692994	1	NA	1	1.1748609863135	1	1	1.15072389845804	1.15355835058112	1.21164129987659	1	1.21019531649453	1.20623175274338	1	1	1	1	1	1.20361145703611	1	1.20198446083041	1	1	1.21149596587697	1.21062740076825	1	1	1	1	1	1	1
GATA3	1.50728325728326	1.49950037883363	1.55061562472904	1.25873720146184	1.01079116681809	1.07379411467287	1.11566780684428	0.900673400673401	1.00322310409718	0.932315793641367	1.05214479722769	1.04208942335776	0.973652368418515	1.06976931114862	0.984954963481772	0.997777856892797	1.11015014317777	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.21062740076825	1	1.21835593309766	1.21280991735537	1	1	1	1	1
TBX3	1.51853892440102	1.17269985331531	1.21692354468274	1.26498042436219	1.29201031088503	1.07719128575792	1.11544916823669	0.901195578614933	0.902906454755583	1.03064183878137	0.959357012494735	0.96677430975478	0.973004627367574	1.07276354848434	0.985384517887132	0.998001998001998	1.10992578849722	1.0941172015321	1.1479488623329	1	1.1748609863135	1	NA	1	1	1	1.15140359856687	1.20637119113573	1	1.21473174793152	1.20976468786688	1	1	1	1	1	1.21820291077832	1	1.20833967818892	1	1	1.20484581497797	1.21077175361279	1	1	1.21354571354571	1	1	1.21149596587697	1.21759259259259
CLASP2	0.785642867918174	1.17697141698763	0.889040628200751	0.954072673240578	1.28899303052151	0.823831680130893	0.757891730620826	0.905362855487544	0.904310484524388	1.0279201297676	1.05011243173787	0.968409697310133	0.974245526615979	0.981260821619788	0.988771838557246	0.99687228598925	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1.16832038402534	1.18559488692232	1	1	1	1	1	1.17397125618602	1	1	1	1	1	1	1	1
EGFR	1.15248985334513	0.844201108074785	0.887856197760351	0.960273032933131	1.02153752816779	0.82427135786761	1.11421826309299	0.9040300450925	1.00875833032142	0.933814316960778	1.04943707097727	0.968493454153513	0.974441383532293	0.985103745031543	1.08067623662494	0.998144712430427	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HLA-A	1.15713610334973	1.16718367942776	1.21067631612655	1.24710663486174	1.28651120746926	0.82011774689721	0.880650340662307	1.00327537840254	1.0026502092513	1.02806900341569	0.961856743106743	0.96815955213436	0.975463681317885	0.983882241684141	0.988232251390146	1.08804581245526	1	1	1.13206674070548	1	1.15072389845804	1	1	1	1	NA	1.12511083294216	1.18069471401843	1	1	1	1	1	1	1	1	1	1	1	1	1.18260309732952	1	1.17944070654914	1	1	1	1	1	1	1
TAOK2	1.13915513266138	1.15882946810782	0.88566411300438	0.964871605341493	1.01997102323798	0.826029899520674	0.87986611409617	0.905087140838436	0.905055423184502	1.19414491361056	0.960660571544028	0.967777187075433	0.972301319007074	1.06524723544674	0.988619456482338	1.08664772727273	1	1.0791358361107	1.13428973593227	1	1.15355835058112	1	1.15140359856687	1	1	1.12511083294216	NA	1.31720878509869	1	1.17162778224725	1.17661038470778	1	1	1	1	1	1.17326272761055	1	1.17869518512743	1	1.17624663823081	1.17209232009675	1	1	1	1	1	1	1	1
ABL2	1.50706103655455	1.04520284588315	0.671230094949725	1.13739821928562	1.1855627560066	0.900682150682151	0.949833385400396	1.06706366303523	0.93531351120337	1.30460966788483	0.990239735618664	0.990869211212841	1	1.30624726955002	1	1	1	1.11966181746075	1.19089933372362	1	1.21164129987659	1	1.20637119113573	1	1	1.18069471401843	1.31720878509869	NA	1	1.2332650050975	1.24291281982164	1	1	1	1	1	1.24951717478273	1	1.23921549067855	1	1.2402327237129	1.23901293638136	1	1	1	1	1	1	1	1
CHD3	1.50145424714744	1.05835117773019	1.52255245744019	0.753052130846468	1.5334232941882	0.902665305260193	0.793116961493546	1.06647466286753	0.936117936117936	0.96419714817111	0.989301135321675	0.9907100199071	1	1	1.13205084553399	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1.23941834154133	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CSDA	1.49589098337822	1.49553336836574	1.10286578660706	0.753278356726633	1.18600088089019	1.23273384248994	1.27192613332902	0.937682816681996	0.935438004677047	1.0856348743342	0.990107873416588	0.990816089281562	1	1.11321946898043	1	1	1	1.12293743002404	1.19213984505247	1	1.21019531649453	1	1.21473174793152	1	1	1	1.17162778224725	1.2332650050975	1	NA	1.4127237285132	1	1	1	1	1	1.25215787275512	1	1.23921549067855	1	1	1.25575522668546	1	1	1	1	1	1	1	1
CTNNB1	1.50307276646975	1.47873536164776	1.09574228429827	0.747917839420506	0.826894792694506	1.56882686849574	1.25516117348787	0.936028072760011	0.936841238471673	1.08460009161271	0.990416007539295	0.993061455678278	0.999709787419285	1.11607909156929	1	1.13670505758638	1	1.1205238276368	1.19711263579188	1	1.20623175274338	1	1.20976468786688	1	1	1	1.17661038470778	1.24291281982164	1	1.4127237285132	NA	1	1	1	1	1	1.24843102224055	1	1.22498580531197	1	1	1.23921549067855	1	1	1	1	1.23720318654959	1	1	1.24843102224055
DHX9	1.50787618160281	1.04277524123698	1.53453984928066	1.13863263491081	1.18972187208575	0.900733363671369	0.956245863600482	0.938200284480822	0.93531351120337	0.961597081419567	0.990195749064929	1.08577118235678	1	1	1	1.14527976570065	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.24671015185666	1	1	1
FGFR3	1.48209843618523	1.04336943798579	1.08982441868348	0.75038180210594	0.637748744517062	0.732849862798902	0.796555867040449	0.936478607210315	1.07047699830356	0.964465248948008	1.29601166677591	0.991278422996485	1.12032773691205	1	1	1	1	1.12564489393008	1	1.18933854080106	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1.23860871488609	1	1	1	1	1	1
FOXP1	0.539603983520333	1.48895709679606	1.10507028839983	1.13564825005503	0.637538374788547	0.905856342593909	1.26385893729067	0.937352245862884	0.934308426843751	0.96372127949247	0.988612193033342	0.992747486039828	1	1	1.34395860059577	1	1.15584614101887	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FUBP1	1.49051546296382	1.47293672084583	1.51975169300226	1.14826014341608	1.19858836879786	1.55496178261433	0.957621541821172	1.07101296201392	0.933924572680554	0.963286713286713	0.988058318624459	0.992180044236361	1	1	1	1	1	1	1	1	1	1	1	1.16832038402534	1	1	1	1	1.23941834154133	1	1	1	1	1	NA	1.24799885648942	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HRAS	1.02364254570928	1.49595537774144	1.10164592505525	1.14496032298483	0.819960169796038	0.905803539697207	0.7920032373037	0.935884543533269	0.935616259525791	0.962911321807027	1.1100204640838	0.992453796745084	1.11879637033043	1	1.12662337662338	1	1	1	1	1	1	1	1	1.18559488692232	1	1	1	1	1	1	1	1	1	1	1.24799885648942	NA	1	1	1.23982493557274	1	1	1	1	1	1	1	1	1	1	1
ITSN1	1.51301050613641	1.4751817894404	0.445483297906205	0.749639427337845	1.18682989964316	1.23936218117354	1.26006286562473	1.06520202699125	0.937169295790925	1.08761861034588	0.991282864068618	0.994280553883203	1	1.30170196894447	1	1	1	1.11838407703736	1.3758109360519	1	1.20361145703611	1	1.21820291077832	1	1	1	1.17326272761055	1.24951717478273	1	1.25215787275512	1.24843102224055	1	1	1	1	1	NA	1	1.23443456854672	1	1	1.2506115996215	1	1	1	1.23345923417557	1	1	1	1
MAP3K1	1.49720469184225	1.49637765833139	1.53556736372986	1.53206216025238	0.826843963489926	0.900094333030536	0.956163706514461	1.06937630161431	0.934906104429404	0.960887152063623	0.987677918632883	0.989300485524186	1.3406984759133	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1.23365374171826	1	1	1	1	1	1
MKL1	1.02586904806387	1.46988779482482	1.10096431220638	1.14757851392047	1.19253781706253	1.23025067085542	0.951444883239511	1.07176703605275	1.06877664320412	1.08445300222282	0.989106554375687	0.995685946184795	1.32977504654102	1.11715966319645	1.12964776324749	1	1	1.12277082473754	1.18889626188896	1	1.20198446083041	1	1.20833967818892	1	1	1	1.17869518512743	1.23921549067855	1	1.23921549067855	1.22498580531197	1	1	1	1	1.23982493557274	1.23443456854672	1	NA	1	1	1.23700356247526	1	1	1	1	1	1	1	1
