	APC	AURKA_gain	TP53	KRAS	PTEN_loss	PIK3CA	CCND2_gain	CCND3_gain	ERBB2_gain	ARID1A	ATM	BRAF	SMAD4	SOX9	MLL2	BMPR2	ASPM	TCF7L2	FN1	PTEN	CREBBP	FBXW7	CDK12	GNAS	AKAP9	CTNNB1	TRIO	NRAS	CEP290	CHD4	MGA	NF1	PTPRU	AXIN2	ITSN1	CLSPN	MAP3K4	MECOM	RTN4	TBX3	TGFBR2	GATA3	SRGAP3	CTCF	LPHN2	SF3B1	CAD	CASP8	CUL1	PIK3R1
FBXW7	1.23749827772242	0.894964440872842	0.938799309811388	0.938329329769598	0.899747921975718	0.858990678280756	0.950587483229119	0.825884606424559	0.921693345904887	0.92857933135805	0.937768828334866	0.933157984679283	0.88745506829619	0.94146771196204	0.875736609232186	0.89349659977326	0.906206793959349	0.885761116179926	0.943149974171547	0.942961265878395	0.952434046998486	NA	1.00768439165233	0.955703226383855	1.05230483724016	0.929177206856656	0.96070554367819	0.931778511725741	0.970664689264252	0.972018755544291	0.941169721710825	0.944143099908647	0.945106820197554	0.948030578210957	0.947839895380879	0.986728620985965	0.953004379766748	0.952479179210936	0.952285545054209	0.98738849980385	0.988304665740433	0.955771192425392	0.955457406711827	1.00094562647754	0.998799889065376	0.960977532518723	0.971601448197193	0.971987828409343	1.01296384774646	1.08615975408247
CDK12	0.606530366889127	0.615867058661764	0.697789316184267	0.655852417658251	0.701994301994302	1.03346832936683	0.908533441866775	0.827895559027003	0.84285632524673	1.07953810419968	1.03096639043776	1.12082163958198	0.941835265300655	0.949039836508791	1.05304196051351	1.08532353311426	0.973000697085277	0.888014968051682	0.946943114969374	0.995408828311777	1.00773857909283	1.00768439165233	NA	0.927497478584881	1.10353103585172	1.01506585050829	1.05860031441427	0.967442254166314	0.973945999634073	1.12301017142044	1.03086516230214	0.946666092319179	0.982242153187146	1.09259436215958	0.983215361762778	0.955082715980616	0.955333118373031	0.9920600429075	1.06001139182707	0.955282088615422	0.99284842141985	1.05501003832816	0.994253768310806	1.0798051924274	0.963729643150423	1.0038344042979	1.0198347822326	1.01823739174733	1.16144603765613	1.01954394585974
GNAS	0.605732494202777	0.727913102550627	0.793155412984039	0.6560052704168	0.91942049648392	0.807049823754406	0.850153475766584	0.859983038308161	0.843045666089626	0.936651120687959	0.98816467034977	0.939905665267195	0.890770418225203	0.899085956366574	0.906959345894782	0.96822700934632	0.907770177941006	0.968334877973432	1.04203620568051	0.918207718207718	0.955688739953502	0.955703226383855	0.927497478584881	NA	1.01578435736933	1.01546914955604	1.01505082688515	0.967562389614536	0.974464710547185	0.943602056207098	0.943541313151575	0.946929815028148	0.982176727382207	0.950318641434311	0.984961940714153	0.955649178365591	1.11521765490481	0.955367215783122	0.955511106728832	0.993986839119583	0.955593828084193	0.957969001877194	0.957580859976123	0.963884921444603	1.00532927880656	0.964137602549047	0.975172858019908	0.975339366515837	0.975019729010339	0.975320807293507
AKAP9	0.60823162524236	0.387933412693914	0.701244910178153	0.660390607240182	0.666385888680136	0.81048663019256	0.822666191382486	0.832544045712307	0.84740309130553	1.03280589702121	1.02957123484459	1.03634164150439	0.944574786190745	0.950934812677396	1.0066530010429	1.01097690188599	0.973909125216147	0.891907718713716	0.995839454662984	0.996355925315679	0.957650467733273	1.05230483724016	1.10353103585172	1.01578435736933	NA	0.964592878863322	1.01479395768176	0.968583265269974	0.976274825550188	1.02966046883238	1.02894865138603	0.950434159339487	1.04169686357483	1.08457581199963	0.953979653642196	0.957466710685595	0.993514754144246	0.992826975005193	0.99326618103238	0.957080581870609	1.05304363440474	1.04870600556735	0.960099784711069	1.06852274851852	1.06988377346092	0.965884813202962	1.01729635980212	1.01943319838057	1.01877798526193	1.01877798526193
CTNNB1	0.500928020317806	0.504309224299937	0.70130839139755	0.891476144499299	0.706516060017873	1.08374771141242	0.909642321065989	0.863070057302807	0.877849000716324	0.987930113751825	0.989577187807276	0.942745372662183	0.865887916052127	0.87532388074921	0.909944816755053	1.01137927417366	0.97343688219452	0.920075781716213	0.949186379915123	0.997433404627649	0.958377401206305	0.929177206856656	1.01506585050829	1.01546914955604	0.964592878863322	NA	0.938466064147067	0.937417203779025	1.01881993691866	0.946950302160256	0.978010206604079	0.979011774440265	0.983967508783467	0.953665072004503	0.98563183736756	0.993331100442857	0.993095648627102	0.992955192955193	0.993060477613323	0.957460561966194	0.993224936025153	0.960656254491004	0.960504422696253	0.966131632058732	1.00388753659999	1.00402219630297	0.97674741686203	0.976860799164273	0.975980893892869	0.976449790885181
TRIO	0.396496536853406	0.730983631199614	0.704817455173904	0.664262500314377	0.783519149768495	0.928722946139492	0.912420141441544	0.836826677122426	0.851590390797439	1.03249136691609	1.02710846200779	1.11276685639194	0.946359041820563	0.906216444972858	1.00812116143104	1.01035464957077	0.975713156082339	0.97212284978608	1.03532133198355	0.951746950133816	1.08513380972397	0.96070554367819	1.05860031441427	1.01505082688515	1.01479395768176	0.938466064147067	NA	0.970048077940643	0.978251051935263	0.978804093456289	0.979373877257136	0.95363544550283	0.984924097864531	1.03515171292687	0.985715408187318	0.961075227918924	1.04804832777409	0.993823911925718	0.993382573710443	0.993933884798352	0.994294074615947	0.994385258507396	0.963212621011115	1.00342349511567	1.0049896049896	0.968734069668649	1.01705973109985	0.979091712460259	1.01643356643357	0.978661735442504
NRAS	0.866464598050257	0.650387792368532	1.13310702362828	0.66706732200688	0.947678599351959	0.880963245008189	0.91959706959707	0.835070707643769	0.849808240550553	0.946313646174564	0.904564032053217	1.00180629087512	1.00545503904441	0.906632264591063	0.914994387127813	0.928645545284559	0.93817473703079	0.977472011261481	0.953476370008923	0.953789536261541	0.962302549843223	0.931778511725741	0.967442254166314	0.967562389614536	0.968583265269974	0.937417203779025	0.970048077940643	NA	0.95297222900369	0.949519045786841	0.981972166108143	0.984020157199042	0.987930710213823	0.989395677761825	0.956486876570268	0.960710522354358	0.999366662346145	0.961271102284012	1.06412922634229	0.961191617816333	0.998173817216795	0.999144455412965	0.963803537464783	1.00945421329071	0.969767517805031	1.01076267905536	0.980803189974366	1.0269169956104	0.980487574857358	0.980044843049327
CEP290	0.648229232888324	0.416472190037531	0.530750045261585	0.76581162468211	0.728764741551399	0.947202533262621	0.842633314259244	0.852428393033709	0.867211501505687	1.08365691485925	1.00052516832263	0.909090332704592	0.88527445400624	0.894345552194001	0.927547412407586	0.981627183389298	0.950786306315181	0.98161523309258	0.963239339890517	0.963145199419811	0.970975813177648	0.970664689264252	0.973945999634073	0.974464710547185	0.976274825550188	1.01881993691866	0.978251051935263	0.95297222900369	NA	0.987352549183426	1.0274438487518	1.05201005560821	0.992506025596556	0.967902413364012	0.993322672804277	0.99953250607234	0.999262056033197	0.971490750816104	0.99863234552742	0.97114726992597	0.971201224945718	0.998808497883023	0.974140341778652	1.00763851533082	1.00755713505626	0.97861653272101	0.986879253011518	1.01667568249847	1.01702677304772	0.986216644906503
CHD4	0.681273219091368	0.559205283411879	0.650646010405476	0.68416805556262	0.683105441158613	0.829944206364883	0.872294530166036	0.846593897024975	0.861112551652608	1.06512843133928	0.966184806052283	1.0173992605271	0.910953196313676	0.888192334346181	1.03340341595186	1.03142483801979	0.924124533046466	0.935361437056352	0.962863269940935	0.962662995914382	0.971377956765728	0.972018755544291	1.12301017142044	0.943602056207098	1.02966046883238	0.946950302160256	0.978804093456289	0.949519045786841	0.987352549183426	NA	0.989797013071342	0.991370541589783	0.96236713419812	1.05003423157966	0.997775718257646	0.969955321174833	0.969451367067577	1.006049085456	1.00535844197112	0.969875027406271	1.00475310534559	1.0045738045738	1.0051595497568	1.07985732036365	0.977603162643234	0.977243024180256	1.0994418830381	0.987986293574205	1.02794249882153	1.02796698485155
MGA	0.681145588686855	0.420173351282721	0.650100831553437	0.777813340445867	0.683043380915422	0.829352318174823	0.871975692611284	0.846713590509409	0.861512748777945	1.15396748807115	1.01285459009569	1.06722823906939	0.879374904944439	0.971317560977552	1.03194798367212	1.13168887003819	1.02520996948641	0.989888315820311	0.962520921679465	1.01203343535645	1.02320458584695	0.941169721710825	1.03086516230214	0.943541313151575	1.02894865138603	0.978010206604079	0.979373877257136	0.981972166108143	1.0274438487518	0.989797013071342	NA	1.03881299884001	0.962619312748735	1.051500324958	1.04920714933821	1.06674279764554	0.969210346930722	1.00596752961825	1.06741864581838	0.969396660535901	1.00607136216892	1.13575187066515	1.00517971674211	1.07768073328239	0.977004981740044	0.977543503111901	1.0992125984252	1.14937801472455	0.987972321410559	0.986422132663591
NF1	0.806165666143118	0.424908836713221	0.766536064408405	0.688415375433788	0.732840146732609	0.833558480322153	0.840687445306383	0.850704103858015	0.865409100844126	1.014247779352	0.918739261470862	0.965951053697076	0.883524147340757	0.892889640614142	1.03032850530736	1.02969022695002	0.950978471055505	0.990553651065442	1.0118462692463	1.01138767093649	0.945105427438121	0.944143099908647	0.946666092319179	0.946929815028148	0.950434159339487	0.979011774440265	0.95363544550283	0.984020157199042	1.05201005560821	0.991370541589783	1.03881299884001	NA	0.964913942839097	0.967020319572761	1.04469783133455	1.0054838147004	1.00491857204186	0.971564530144412	1.00546344810906	1.00408331614766	0.971707600881021	1.00438669739582	0.974411651802101	1.01415376763086	0.979351285627436	1.01402876288256	0.988256924263092	1.0257929132442	0.988342466784748	0.988694602352226
